121.464
121.104
120.822
120.602
120.429
120.294
120.188
120.105
120.039
119.988
119.948
119.916
119.891
Time (ps)         TotalE        PE            KE            kintemp       pressure 
0.000500    -951.996391   -1276.226312    324.229920    119.885014    4.487506e-33
0.001000    -952.003391   -1276.221145    324.217754    119.880515    4.487964e-33
0.001500    -952.002256   -1276.212681    324.210425    119.877805    4.488294e-33
0.002000    -951.992987   -1276.200920    324.207933    119.876884    4.488495e-33
0.002500    -951.975586   -1276.185864    324.210277    119.877751    4.488569e-33
0.003000    -951.950050   -1276.167511    324.217460    119.880407    4.488514e-33
0.003500    -951.916381   -1276.145860    324.229479    119.884850    4.488332e-33
0.004000    -951.874577   -1276.120911    324.246334    119.891083    4.488021e-33
0.004500    -951.824635   -1276.092662    324.268027    119.899104    4.487583e-33
0.005000    -951.766551   -1276.061109    324.294559    119.908914    4.487017e-33
0.005500    -951.700322   -1276.026252    324.325930    119.920513    4.486323e-33
0.006000    -951.625944   -1275.988085    324.362142    119.933903    4.485501e-33
0.006500    -951.543409   -1275.946607    324.403197    119.949084    4.484550e-33
0.007000    -951.452711   -1275.901812    324.449101    119.966057    4.483472e-33
0.007500    -951.353844   -1275.853695    324.499851    119.984822    4.482266e-33
0.008000    -951.246797   -1275.802252    324.555455    120.005381    4.480931e-33
0.008500    -951.131564   -1275.747477    324.615913    120.027736    4.479468e-33
0.009000    -951.008131   -1275.689363    324.681232    120.051888    4.477877e-33
0.009500    -950.876493   -1275.627905    324.751412    120.077837    4.476156e-33
0.010000    -950.736630   -1275.563094    324.826464    120.105588    4.474307e-33
0.010500    -950.588537   -1275.494923    324.906387    120.135139    4.472329e-33
0.011000    -950.432200   -1275.423385    324.991185    120.166494    4.470221e-33
0.011500    -950.267598   -1275.348469    325.080871    120.199656    4.467984e-33
0.012000    -950.094724   -1275.270168    325.175444    120.234624    4.465617e-33
0.012500    -949.929885   -1275.204804    325.274919    120.271405    4.463331e-33
0.013000    -949.756776   -1275.136089    325.379313    120.310005    4.460915e-33
0.013500    -949.559031   -1275.047653    325.488622    120.350422    4.458158e-33
0.014000    -949.352939   -1274.955789    325.602850    120.392659    4.455271e-33
0.014500    -949.138481   -1274.860486    325.722005    120.436717    4.452252e-33
0.015000    -948.915637   -1274.761731    325.846094    120.482599    4.449102e-33
0.015500    -948.684386   -1274.659513    325.975127    120.530309    4.445819e-33
0.016000    -948.477366   -1274.586491    326.109125    120.579856    4.442266e-33
0.016500    -948.229277   -1274.477368    326.248091    120.631239    4.438717e-33
0.017000    -947.972707   -1274.364740    326.392033    120.684462    4.435036e-33
0.017500    -947.691338   -1274.232288    326.540950    120.739524    4.431008e-33
0.018000    -947.401472   -1274.096329    326.694858    120.796432    4.427018e-33
0.018500    -947.103063   -1273.956874    326.853811    120.855205    4.422725e-33
0.019000    -946.796061   -1273.813884    327.017823    120.915849    4.418299e-33
0.019500    -946.496763   -1273.683626    327.186863    120.978352    4.413946e-33
0.020000    -946.221516   -1273.582437    327.360921    121.042711    4.409874e-33
0.020500    -945.921341   -1273.461358    327.540016    121.108932    4.405237e-33
0.021000    -945.579839   -1273.304056    327.724217    121.177041    4.400425e-33
0.021500    -945.245944   -1273.159433    327.913489    121.247025    4.395526e-33
0.022000    -944.886992   -1272.994837    328.107845    121.318888    4.390653e-33
0.022500    -944.503038   -1272.810297    328.307258    121.392622    4.385214e-33
0.023000    -944.142915   -1272.654705    328.511790    121.468248    4.379896e-33
0.023500    -943.790228   -1272.511711    328.721482    121.545783    4.374254e-33
0.024000    -943.363463   -1272.299791    328.936328    121.625223    4.368532e-33
0.024500    -942.993143   -1272.149460    329.156317    121.706564    4.362971e-33
0.025000    -942.564949   -1271.946458    329.381509    121.789829    4.357025e-33
0.025500    -942.127903   -1271.739746    329.611842    121.874996    4.351017e-33
0.026000    -941.681806   -1271.529229    329.847424    121.962103    4.344594e-33
0.026500    -941.243009   -1271.331262    330.088253    122.051150    4.338284e-33
0.027000    -940.811378   -1271.145745    330.334367    122.142152    4.331822e-33
